#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T09:28+0000 #
#####################################################################
#
# seed = 4.0, communication = 50, leaderBased = true, totalNodes = 20, totalTaskFactor = 1
#
# The columns have the following meaning: 
# time isDone[sum] replanning[sum] totalReplanning[sum] totalReplanning[mean] distance[sum] distance[mean] neighbors[mean] neighbors[mean] taskSize[sum] dones[sum] dones[mean] 
0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
0.004819367455573431 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
1.0048193674555734 0.0 2.0 2.0 1.0 0.0 0.0 6.0 6.0 26.0 0.0 NaN
2.0048193674555734 0.0 2.0 2.0 1.0 0.0 0.0 9.5 9.5 40.0 0.0 NaN
3.0048193674555734 0.0 1.0 3.0 1.5 0.0 0.0 17.95 17.95 40.0 0.0 NaN
4.004819367455573 0.0 1.0 3.0 1.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
5.004819367455573 0.0 1.0 4.0 2.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
6.004819367455573 0.0 1.0 4.0 2.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
7.004819367455573 0.0 1.0 5.0 2.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
8.004819367455573 0.0 1.0 5.0 2.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
9.004819367455573 0.0 1.0 6.0 3.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
10.004819367455573 0.0 1.0 6.0 3.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
11.004819367455573 0.0 1.0 7.0 3.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
12.004819367455573 0.0 1.0 7.0 3.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
13.004819367455573 0.0 1.0 8.0 4.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
14.004819367455573 0.0 1.0 8.0 4.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
15.004819367455573 0.0 1.0 9.0 4.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
16.004819367455575 0.0 1.0 9.0 4.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
17.004819367455575 0.0 1.0 10.0 5.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
18.004819367455575 0.0 1.0 10.0 5.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
19.004819367455575 0.0 1.0 11.0 5.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
20.004819367455575 0.0 1.0 11.0 5.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
21.004819367455575 0.0 1.0 12.0 6.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
22.004819367455575 0.0 1.0 12.0 6.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
23.004819367455575 0.0 1.0 13.0 6.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
24.004819367455575 0.0 1.0 13.0 6.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
25.004819367455575 0.0 1.0 14.0 7.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
26.004819367455575 0.0 1.0 14.0 7.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
27.004819367455575 0.0 1.0 15.0 7.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
28.004819367455575 0.0 1.0 15.0 7.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
29.004819367455575 0.0 1.0 16.0 8.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
30.004819367455575 0.0 1.0 16.0 8.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
31.004819367455575 0.0 1.0 17.0 8.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
32.004819367455575 0.0 1.0 17.0 8.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
33.004819367455575 0.0 1.0 18.0 9.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
34.004819367455575 0.0 1.0 18.0 9.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
35.004819367455575 0.0 1.0 19.0 9.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
36.004819367455575 0.0 1.0 19.0 9.5 0.0 0.0 19.0 19.0 40.0 0.0 NaN
37.004819367455575 0.0 1.0 20.0 10.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
38.004819367455575 0.0 1.0 20.0 10.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
