#####################################################################
# Alchemist log file - simulation started at: 2025-04-16T09:23+0000 #
#####################################################################
#
# seed = 3.0, communication = 100, leaderBased = true, totalNodes = 20, totalTaskFactor = 4
#
# The columns have the following meaning: 
# time isDone[sum] replanning[sum] totalReplanning[sum] totalReplanning[mean] distance[sum] distance[mean] neighbors[mean] neighbors[mean] taskSize[sum] dones[sum] dones[mean] 
0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
0.0016359619213666132 0.0 0.0 0.0 NaN 0.0 NaN NaN NaN 0.0 0.0 NaN
1.0016359619213666 0.0 5.0 5.0 1.0 0.0 0.0 4.5 4.5 20.0 0.0 NaN
2.001635961921367 0.0 5.0 5.0 1.0 0.0 0.0 9.5 9.5 40.0 0.0 NaN
3.001635961921367 0.0 1.0 6.0 1.2 0.0 0.0 16.75 16.75 40.0 0.0 NaN
4.001635961921367 0.0 1.0 6.0 1.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
5.001635961921367 0.0 1.0 7.0 1.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
6.001635961921367 0.0 1.0 7.0 1.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
7.001635961921367 0.0 1.0 8.0 1.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
8.001635961921366 0.0 1.0 8.0 1.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
9.001635961921366 0.0 1.0 9.0 1.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
10.001635961921366 0.0 1.0 9.0 1.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
11.001635961921366 0.0 1.0 10.0 2.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
12.001635961921366 0.0 1.0 10.0 2.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
13.001635961921366 0.0 1.0 11.0 2.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
14.001635961921366 0.0 1.0 11.0 2.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
15.001635961921366 0.0 1.0 12.0 2.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
16.001635961921366 0.0 1.0 12.0 2.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
17.001635961921366 0.0 1.0 13.0 2.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
18.001635961921366 0.0 1.0 13.0 2.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
19.001635961921366 0.0 1.0 14.0 2.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
20.001635961921366 0.0 1.0 14.0 2.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
21.001635961921366 0.0 1.0 15.0 3.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
22.001635961921366 0.0 1.0 15.0 3.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
23.001635961921366 0.0 1.0 16.0 3.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
24.001635961921366 0.0 1.0 16.0 3.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
25.001635961921366 0.0 1.0 17.0 3.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
26.001635961921366 0.0 1.0 17.0 3.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
27.001635961921366 0.0 1.0 18.0 3.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
28.001635961921366 0.0 1.0 18.0 3.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
29.001635961921366 0.0 1.0 19.0 3.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
30.001635961921366 0.0 1.0 19.0 3.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
31.001635961921366 0.0 1.0 20.0 4.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
32.001635961921366 0.0 1.0 20.0 4.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
33.001635961921366 0.0 1.0 21.0 4.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
34.001635961921366 0.0 1.0 21.0 4.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
35.001635961921366 0.0 1.0 22.0 4.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
36.001635961921366 0.0 1.0 22.0 4.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
37.001635961921366 0.0 1.0 23.0 4.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
38.001635961921366 0.0 1.0 23.0 4.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
39.001635961921366 0.0 1.0 24.0 4.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
40.001635961921366 0.0 1.0 24.0 4.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
41.001635961921366 0.0 1.0 25.0 5.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
42.001635961921366 0.0 1.0 25.0 5.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
43.001635961921366 0.0 1.0 26.0 5.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
44.001635961921366 0.0 1.0 26.0 5.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
45.001635961921366 0.0 1.0 27.0 5.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
46.001635961921366 0.0 1.0 27.0 5.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
47.001635961921366 0.0 1.0 28.0 5.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
48.001635961921366 0.0 1.0 28.0 5.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
49.001635961921366 0.0 1.0 29.0 5.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
50.001635961921366 0.0 1.0 29.0 5.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
51.001635961921366 0.0 1.0 30.0 6.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
52.001635961921366 0.0 1.0 30.0 6.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
53.001635961921366 0.0 1.0 31.0 6.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
54.001635961921366 0.0 1.0 31.0 6.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
55.001635961921366 0.0 1.0 32.0 6.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
56.001635961921366 0.0 1.0 32.0 6.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
57.001635961921366 0.0 1.0 33.0 6.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
58.001635961921366 0.0 1.0 33.0 6.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
59.001635961921366 0.0 1.0 34.0 6.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
60.001635961921366 0.0 1.0 34.0 6.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
61.001635961921366 0.0 1.0 35.0 7.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
62.001635961921366 0.0 1.0 35.0 7.0 0.0 0.0 19.0 19.0 40.0 0.0 NaN
63.001635961921366 0.0 1.0 36.0 7.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
64.00163596192137 0.0 1.0 36.0 7.2 0.0 0.0 19.0 19.0 40.0 0.0 NaN
65.00163596192137 0.0 1.0 37.0 7.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
66.00163596192137 0.0 1.0 37.0 7.4 0.0 0.0 19.0 19.0 40.0 0.0 NaN
67.00163596192137 0.0 1.0 38.0 7.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
68.00163596192137 0.0 1.0 38.0 7.6 0.0 0.0 19.0 19.0 40.0 0.0 NaN
69.00163596192137 0.0 1.0 39.0 7.8 0.0 0.0 19.0 19.0 40.0 0.0 NaN
